Plot ID,Grass_Height (in),Grass_Height (cm),Load Class,Notes,Picture#,,,,,,,
G1,18,45.72,heavy,lean toward heavy,,,,,,,,
G2,15,38.1,moderate,,,,,,,,,
N2,14,35.56,moderate,cottonwood leaves blown,,,,,,,,
G4,12,30.48,moderate,,,,,,,,,
G3,15,38.1,heavy,,"1,2",,,,,,,
N1,15,38.1,heavy,,,,,,,,,
G7,14,35.56,heavy,,,,,,,,,
G6,15,38.1,moderate,,3,,,,,,,
N3,18,45.72,heavy,lean toward heavy,,,,,,,,
N4,20,50.8,moderate,lean toward mod,,,,,,,,
G9,25,63.5,heavy,,4,,,,,,,
G6,15,38.1,moderate,,,,,,,,,
G8,16,40.64,moderate,,,,,,,,,
G11,16,40.64,moderate,,,,,,,,,
G10,14,35.56,moderate,,,,,,,,,
G14,17,43.18,heavy,lean toward heavy,,,,,,,,
G13,20,50.8,heavy,,,,,,,,,
N5,12,30.48,moderate,,5- needles,,,,,,,
G12,16,40.64,heavy,,,,,,,,,
N6,14,35.56,moderate,,,,,,,,,
N7,19,48.26,heavy,,,,,,,,,
G17,18,45.72,heavy,,,,,,,,,
G16,16,40.64,moderate,,,,,,,,,
N8,14,35.56,heavy,,,,,,,,,
G15,16,40.64,moderate,,,,,,,,,
G19,15,38.1,moderate,,,,,,,,,
G20,13,33.02,moderate,,,,,,,,,
N9,15,38.1,moderate,,,,,,,,,
G18,17,43.18,heavy,,,,,,,,,
G21,14,35.56,moderate,,,,,,,,,
N10,1.88,4.7752,heavy,"pine needles: measurements (in): 3,3,1.25,2.5,3,1,1.5, 1,2,2,1.5,1.5,1,2,2",,,,,,,,
