simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution
0,2.0,high,0.31,0.31,0.6,0.1,0.15,0.15,6561,6561,1.8288,pfm,fine
1,2.0,high,0.31,0.31,0.6,0.2,0.15,0.15,6561,6561,1.8288,pfm,fine
2,2.0,high,0.31,0.31,0.6,0.30000000000000004,0.15,0.15,6561,6561,1.8288,pfm,fine
3,2.0,high,0.31,0.31,0.6,0.4,0.15,0.15,6561,6561,1.8288,pfm,fine
4,2.0,high,0.31,0.31,0.6,0.5,0.15,0.15,6561,6561,1.8288,pfm,fine
5,2.0,high,0.31,0.31,0.6,0.6,0.15,0.15,6561,6561,1.8288,pfm,fine
6,2.0,medium,0.19,0.19,0.6,0.1,0.15,0.15,6561,6561,1.8288,pfm,fine
7,2.0,medium,0.19,0.19,0.6,0.2,0.15,0.15,6561,6561,1.8288,pfm,fine
8,2.0,medium,0.19,0.19,0.6,0.30000000000000004,0.15,0.15,6561,6561,1.8288,pfm,fine
9,2.0,medium,0.19,0.19,0.6,0.4,0.15,0.15,6561,6561,1.8288,pfm,fine
10,2.0,medium,0.19,0.19,0.6,0.5,0.15,0.15,6561,6561,1.8288,pfm,fine
11,2.0,medium,0.19,0.19,0.6,0.6,0.15,0.15,6561,6561,1.8288,pfm,fine
