simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution
0,0.25,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
1,0.3283,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
2,0.4066,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
3,0.4848,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
4,0.5631,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
5,0.6414,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
6,0.7197,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
7,0.798,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
8,0.8763,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
9,0.9545,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
10,1.0328,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
11,1.1111,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
12,1.1894,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
13,1.2677,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
14,1.346,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
15,1.4242,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
16,1.5025,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
17,1.5808,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
18,1.6591,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
19,1.7374,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
20,1.8157,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
21,1.8939,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
22,1.9722,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
23,2.0505,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
24,2.1288,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
25,2.2071,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
26,2.2854,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
27,2.3636,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
28,2.4419,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
29,2.5202,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
30,2.5985,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
31,2.6768,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
32,2.7551,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
33,2.8333,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
34,2.9116,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
35,2.9899,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
36,3.0682,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
37,3.1465,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
38,3.2247,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
39,3.303,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
40,3.3813,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
41,3.4596,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
42,3.5379,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
43,3.6162,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
44,3.6944,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
45,3.7727,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
46,3.851,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
47,3.9293,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
48,4.0076,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
49,4.0859,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
50,4.1641,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
51,4.2424,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
52,4.3207,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
53,4.399,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
54,4.4773,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
55,4.5556,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
56,4.6338,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
57,4.7121,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
58,4.7904,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
59,4.8687,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
60,4.947,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
61,5.0253,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
62,5.1035,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
63,5.1818,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
64,5.2601,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
65,5.3384,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
66,5.4167,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
67,5.4949,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
68,5.5732,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
69,5.6515,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
70,5.7298,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
71,5.8081,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
72,5.8864,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
73,5.9646,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
74,6.0429,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
75,6.1212,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
76,6.1995,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
77,6.2778,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
78,6.3561,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
79,6.4343,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
80,6.5126,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
81,6.5909,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
82,6.6692,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
83,6.7475,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
84,6.8258,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
85,6.904,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
86,6.9823,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
87,7.0606,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
88,7.1389,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
89,7.2172,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
90,7.2955,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
91,7.3737,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
92,7.452,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
93,7.5303,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
94,7.6086,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
95,7.6869,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
96,7.7652,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
97,7.8434,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
98,7.9217,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
99,8.0,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
