simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
0,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.0
1,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.1
2,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.2
3,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.3
4,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.4
5,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.5
6,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.6
7,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.7
8,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.8
9,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,1.9
10,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.0
11,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.1
12,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.2
13,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.3
14,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.4
15,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.5
16,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.6
17,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.7
18,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.8
19,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,1.9
20,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.0
21,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.1
22,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.2
23,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.3
24,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.4
25,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.5
26,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.6
27,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.7
28,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.8
29,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,1.9
30,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.0
31,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.1
32,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.2
33,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.3
34,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.4
35,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.5
36,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.6
37,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.7
38,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.8
39,pfm,0.9,0.6,0.4,0.15,0.15,6561,6561,0.31,1.9
40,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.0
41,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.1
42,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.2
43,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.3
44,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.4
45,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.5
46,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.6
47,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,1.7
