simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
0,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.0
1,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.1
2,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.2
3,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.3
4,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.4
5,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.5
6,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.6
7,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.7
8,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.8
9,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,2.9
10,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,3.0
11,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,3.1
12,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,3.2
13,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,3.3
14,pfm,0.9,0.6,0.1,0.15,0.15,6561,6561,0.31,3.4
15,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.0
16,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.1
17,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.2
18,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.3
19,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.4
20,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.5
21,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.6
22,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.7
23,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.8
24,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,2.9
25,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,3.0
26,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,3.1
27,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,3.2
28,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,3.3
29,pfm,0.9,0.6,0.2,0.15,0.15,6561,6561,0.31,3.4
30,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,2.0
31,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,2.1
32,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,2.2
33,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,2.3
34,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,2.4
35,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,2.5
36,pfm,0.9,0.6,0.3,0.15,0.15,6561,6561,0.31,2.6
