simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
0,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,1.0
1,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,1.22
2,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,1.44
3,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,1.67
4,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,1.89
5,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,2.11
6,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,2.33
7,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,2.56
8,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,2.78
9,pfm,0.9,0.4,0.1,0.25,0.25,6561,6561,0.55,3.0
10,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,1.0
11,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,1.22
12,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,1.44
13,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,1.67
14,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,1.89
15,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,2.11
16,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,2.33
17,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,2.56
18,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,2.78
19,pfm,0.9,0.4,0.2,0.25,0.25,6561,6561,0.55,3.0
20,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,1.0
21,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,1.22
22,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,1.44
23,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,1.67
24,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,1.89
25,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,2.11
26,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,2.33
27,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,2.56
28,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,2.78
29,pfm,0.9,0.4,0.3,0.25,0.25,6561,6561,0.55,3.0
30,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,1.0
31,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,1.22
32,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,1.44
33,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,1.67
34,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,1.89
35,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,2.11
36,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,2.33
37,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,2.56
38,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,2.78
39,pfm,0.9,0.4,0.4,0.25,0.25,6561,6561,0.55,3.0
40,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,1.0
41,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,1.22
42,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,1.44
43,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,1.67
44,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,1.89
45,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,2.11
46,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,2.33
47,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,2.56
48,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,2.78
49,pfm,1.35,0.4,0.1,0.25,0.25,6561,6561,0.55,3.0
50,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,1.0
51,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,1.22
52,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,1.44
53,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,1.67
54,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,1.89
55,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,2.11
56,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,2.33
57,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,2.56
58,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,2.78
59,pfm,1.35,0.4,0.2,0.25,0.25,6561,6561,0.55,3.0
60,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,1.0
61,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,1.22
62,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,1.44
63,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,1.67
64,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,1.89
65,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,2.11
66,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,2.33
67,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,2.56
68,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,2.78
69,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,3.0
70,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.0
71,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.22
72,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.44
73,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.67
74,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.89
75,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.11
76,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.33
77,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.56
78,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.78
79,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,3.0
80,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.0
81,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.22
82,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.44
83,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.67
84,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.89
85,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.11
86,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.33
87,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.56
88,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.78
89,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,3.0
90,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.0
91,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.22
92,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.44
93,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.67
94,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.89
95,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.11
96,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.33
97,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.56
98,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.78
99,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,3.0
100,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.0
101,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.22
102,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.44
103,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.67
104,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.89
105,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.11
106,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.33
107,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.56
108,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.78
109,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,3.0
110,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,1.0
111,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,1.22
